镜头ID,start,end,时长秒,画面任务,主实现工具,辅助素材/工具,motion参数建议,制作复杂度,优先级,风险/备注
S01,00:00,00:03,3,黑底大标题，左右出现“他的豆包”和“我的豆包”,Remotion,标题组件 / 字幕 / 音效点,文字 6-10 帧内弹入，随后 6 帧轻微震动；左右标题间隔 4-6 帧出现。,低,P0,先做成全片统一标题模板，后续所有章节标题都能复用。
S02,00:03,00:09,6,两个聊天窗口同步输入同一个问题,HTML/CSS + Remotion,本地模拟聊天 UI,左右聊天窗同时出现；输入光标闪烁 0.4-0.6 秒一次；问题文字 1.5-2 秒打完。,中,P0,不要抓真实 App，直接重绘，避免版权和界面变动。
S03,00:09,00:18,9,左侧大段套话，右侧三条具体风险,HTML/CSS + Remotion,本地模拟聊天 UI / 关键词高亮,镜头 12-18 帧推向右侧；右侧三条风险每 0.8-1.2 秒出现一条。,中,P0,这是开头最关键的“差异”镜头，文字必须干净可读。
S04,00:18,00:25,7,搜索框输入“豆包 提问技巧”“AI 怎么问”,HTML/CSS + Remotion,本地搜索模拟页 / 可用 Playwright 截图,搜索词 1 秒打完，结果列表纵向滚动 0.5-0.8 秒，随后定格。,低,P1,搜索页建议模拟，不依赖真实搜索结果。
S05,00:25,00:34,9,同一道题交给初中生和博士的对比卡,Remotion,AI 插图或简笔图标,两张对比卡左右弹出，弹性入场 8-12 帧；中间问题保持不动。,低,P1,插图只做隐喻，不能让人物喧宾夺主。
S06,00:34,00:43,9,“快速”“专家”两个模式按钮,Remotion,模式按钮 UI / 红圈 SVG,快速/专家按钮先并列，专家按钮 8 帧高亮，红圈 10-14 帧画出。,低,P0,结论钩子，必须让观众一眼看到“专家模式”。
S07,00:43,00:55,12,App 图标在前，背后露出多个引擎,Remotion,分层图形 / App 图标 / 模型卡片,App 图标向前放大 6-8%，背后模型卡错层展开，间隔 5-8 帧。,中,P0,这句定义全片核心概念，优先做清楚。
S08,00:55,01:07,12,产品层、路由层、模型层三层结构图,Motion Canvas 或 Manim,三层结构图 / 路由箭头,产品层、路由层、模型层每层 0.5-0.8 秒出现；箭头逐段点亮。,中,P0,建议单独做成解释动画片段，再导入 Remotion 总装。
S09,01:07,01:20,13,餐厅门口两个窗口：快餐窗口和主厨窗口,AI 图 + Remotion,餐厅隐喻底图 / 两个窗口标签,底图可轻微推进 3-5%；窗口标签和箭头后期叠加。,中,P1,AI 只生成无文字底图，所有文字后期加。
S10,01:20,01:33,13,快餐窗口快速出三行答案,Remotion,快餐窗口卡片 / 答案条,答案卡 0.3-0.5 秒一张快速弹出，整体节奏偏快。,低,P1,用速度感说明快速模式，不要把回答写得太长。
S11,01:33,01:47,14,主厨窗口逐步处理材料，答案更细,Remotion + Motion Canvas,主厨窗口卡片 / 分步处理图标,材料图标进入、分析、输出三步，每步 0.6-0.9 秒；答案逐条展开。,中,P1,这里需要让“慢但认真”可视化。
S12,01:47,02:02,15,四个模型档位卡片从高到低排列,Remotion,官方信息转绘卡 / 档位卡片,四张模型卡从低到高或从后到前依次升起，每张间隔 0.25-0.4 秒。,中,P0,必须标注“转绘，非官方原图”，避免被误解成官方截图。
S13,02:02,02:15,13,“公开信息”和“合理推测”两个标签,Remotion,事实边界提示卡,画面停顿 1.5-2 秒，公开信息/合理推测两个标签左右对照。,低,P0,这句是合规边界，宁可慢一点。
S14,02:15,02:31,16,价格/成本阶梯图,D3/HTML + Remotion,成本阶梯图 / 数字动效,柱子 0.6-1 秒升起，数字用 12-18 帧滚动到位；最后高亮“档位差”。,中,P0,数字和比例要人工核准，不交给 AI 视频生成。
S15,02:31,02:46,15,GPU 机房、电表、账单变长,AI B-roll + Remotion,机房/电表/账单底图,B-roll 慢推，账单条和字幕后期叠加；电表可 0.2 秒跳一次。,中,P2,氛围镜头可以生成，但不要把关键信息烧进 AI 视频。
S16,02:46,03:02,16,人流分成两条队伍,Motion Canvas 或 Remotion,人流分流图 / 两条路径,一条线先走 0.8 秒，然后分成两条，快速通道更短、专家通道更细。,中,P0,这是解释“分流”的核心镜头，可以做成可复用组件。
S17,03:02,03:17,15,免费、速度、成本、效果四个词形成天平,Motion Canvas 或 Manim,天平 / 四个词标签,四个词依次落到天平两侧，天平摆动 1-2 次后稳定。,中,P1,语气中性，不要做成“平台骗你”的视觉暗示。
S18,03:17,03:31,14,天气、翻译、菜谱三个小卡片,Remotion,天气/翻译/菜谱小卡,三张卡快速滑过，每张停 0.4-0.7 秒，快速模式颜色保持统一。,低,P1,这类镜头适合做成重复卡片模板。
S19,03:31,03:47,16,合同、保险、体检报告、旅行规划四张卡,Remotion,合同/保险/报告/计划卡片,四张卡依次出现，专家章 6-8 帧盖下，轻微回弹。,低,P0,这里是行动建议，画面要非常直白。
S20,03:47,04:00,13,大按钮“复杂任务先检查模式”,Remotion,结论按钮 / 专家模式高亮,按钮点击 6 帧按下，专家按钮光效 0.5 秒扫过，字幕居中定格。,低,P0,可作为短视频结尾金句画面。
S21,04:00,04:12,12,回到餐厅两个窗口，右侧灯亮,AI 图 + Remotion,餐厅窗口回环图,镜头从左窗口平移到右窗口 1.2-1.8 秒，右侧灯亮。,中,P1,呼应前文餐厅隐喻，底图仍然不要含文字。
S22,04:12,04:15,3,片尾：作品名、作者、素材说明待补,Remotion,片尾模板 / 素材说明,淡出 0.5-0.8 秒，保留署名和素材说明。,低,P0,后续需要补正式署名、素材授权和参考来源。
