start,end,voiceover,visual,asset,motion,implementation_note
"00:00","00:03","同样问豆包，为什么他的答案像专家，你的答案像复制粘贴？","黑底大标题，左右出现“他的豆包”和“我的豆包”","本地标题卡","文字快速入场，轻微震动","Remotion Text + spring"
"00:03","00:09","比如你们同时问：帮我看看这份保险条款有哪些坑。","两个聊天窗口同步输入同一个问题","本地模拟聊天 UI","左右分屏，输入光标闪烁","HTML/Remotion 模拟，不抓真实 App"
"00:09","00:18","你的豆包在复述条款，朋友的豆包直接指出容易漏看的坑。","左侧大段套话，右侧三条具体风险","源文稿改写","镜头推向右侧，关键词变黄","右侧文字逐条展开"
"00:18","00:25","这时候很多人会想：是不是我不会提问？","搜索框输入“豆包 提问技巧”“AI 怎么问”","本地搜索模拟页","快速打字，结果滚动","Playwright 可截图"
"00:25","00:34","提问当然有影响，但它不是全部。","同一道题交给初中生和博士的对比卡","自制图标/AI 图","两张卡片左右弹出","可用简单插画"
"00:34","00:43","真正的答案可能简单得多：他开了专家模式，你还在快速模式。","“快速”“专家”两个模式按钮","本地 UI 卡片","专家按钮被圈出","重点字幕加红色描边"
"00:43","00:55","先讲一个最关键的概念：豆包是产品，不是模型。","App 图标在前，背后露出多个引擎","自制图形","图标向前拉开，露出模型层","Remotion 分层动画"
"00:55","01:07","模型才是负责思考的大脑，产品负责把问题交给某个模型。","产品层、路由层、模型层三层结构图","自制图形","箭头依次点亮","Manim 或 Remotion"
"01:07","01:20","你可以把它想象成一家餐厅。","餐厅门口两个窗口：快餐窗口和主厨窗口","AI 图/手绘卡片","镜头从门口推进","用隐喻降低理解难度"
"01:20","01:33","快餐窗口出餐快、成本低，适合随便吃点。","快餐窗口快速出三行答案","自制动画","答案卡片快速弹出","快速模式标签高亮"
"01:33","01:47","主厨窗口慢一点，但更适合认真分析。","主厨窗口逐步处理材料，答案更细","自制动画","答案逐条展开","专家模式标签高亮"
"01:47","02:02","官方已经公开，豆包 2.0 系列分成 Pro、Lite、Mini、Code。","四个模型档位卡片从高到低排列","火山引擎信息转绘","卡片依次升起","注明“转绘，非官方原图”"
"02:02","02:15","但官方没有公开说快速模式一定等于某个具体模型，所以不能乱下死结论。","“公开信息”和“合理推测”两个标签","提示卡","画面暂停 2 秒","这句用于事实边界"
"02:15","02:31","可以确定的是，不同档位的能力和成本不一样。","价格/成本阶梯图","火山方舟价格信息转绘","数字从低到高跳动","只表现档位差，不写太多数字"
"02:31","02:46","模型越强，单次回答越贵。","GPU 机房、电表、账单变长","授权机房图或 AI 图","电表加速，账单拉长","避免恐吓感"
"02:46","03:02","所以产品会分流：简单问题走快速通道，复杂任务让你自己切专家。","人流分成两条队伍","自制图形","一条线分成两条线","路由隐喻"
"03:02","03:17","这不是阴谋，更像免费产品的资源分配。","免费、速度、成本、效果四个词形成天平","Remotion 图形","天平轻微摆动","语气要中性"
"03:17","03:31","问天气、翻译一句话、想晚饭吃什么，快速就够。","天气、翻译、菜谱三个小卡片","图标","快速滑过","快速模式绿/蓝色"
"03:31","03:47","看合同、拆保险、分析报告、做复杂计划，先切专家。","合同、保险、体检报告、旅行规划四张卡","空白模板/图标","盖上“专家”章","专家模式红/黄色"
"03:47","04:00","你不需要记住模型名，只要记住：复杂任务之前，先检查模式。","大按钮“复杂任务先检查模式”","标题卡","按钮被点击，专家高亮","结论字幕居中"
"04:00","04:12","下次觉得 AI 不聪明，别急着怀疑自己。先看看你走的是哪个窗口。","回到餐厅两个窗口，右侧灯亮","窗口隐喻图","镜头从左移到右","呼应前文"
"04:12","04:15","这就是最基础的 AI 使用素养。","片尾：作品名、作者、素材说明待补","片尾模板","淡出","后续补署名和版权说明"
